TC	SC	Eumhun	PY	MC	MCI	MCF	MCT	OC	Gloss
角	角	뿔 각, 꿩 우는 소리 곡, 사람 이름 록	jiǎo	kæwk	k-	-æwk	entering	*C.kˁrok	horn, corner
覺	觉	깨달을 각, 깰 교	jué	kæwk	k-	-æwk	entering	*kˁruk	awake
確	确	굳을 확, 굳을 각	què	khæwk	kh-	-æwk	entering	*kʰˁrawk {*[k]ʰˁrawk}	solid, firm
殼	壳	껍질 각, 내려칠 각, 구역질 하는 모양 학	què	khæwk	kh-	-æwk	entering	*kʰˁrok {*[kʰ]ˁrok}	hollow shell, hollow
瞀	瞀	어두울 무, 눈흐릴 막, 현기증 모, 야맹증 목	mào	mæwk	m-	-æwk	entering	*mˁ‹r›uk	troubled eyesight
樂	乐	풍류 악, 즐거울 락, 좋아할 요, 노래 악	yuè	ngæwk	ng-	-æwk	entering	*ŋˁrawk {*[ŋ]ˁrawk}	music
嶽	嶽	큰산 악, 큰 산 악	yuè	ngæwk	ng-	-æwk	entering	*ŋˁrok {*[ŋ]ˁrok}	mountain, peak
岳	岳	큰산 악, 큰 산 악	yuè	ngæwk	ng-	-æwk	entering	*ŋˁrok {*[ŋ]ˁrok}	mountain, peak
剝	剥	벗길 박	bō	pæwk	p-	-æwk	entering	*pˁrok ~ *mə-pˁrok	cut, flay, peel
樸	朴	통나무 박, 총생할 복, 고을 이름 보, 순박할 박, 나무 빽빽할 복	pǔ	phæwk	ph-	-æwk	entering	*pʰˁrok	unworked wood
數	数	셀 수, 수 수, 자주 삭, 촘촘할 촉, 빠를 속, 셈 수	shuò	sræwk	sr-	-æwk	entering	*s-rok	frequently
朔	朔	초하루 삭	shuò	sræwk	sr-	-æwk	entering	*s.ŋrak	1st day of month
卓	卓	높을 탁	zhuō	træwk	tr-	-æwk	entering	*tˁrawk	high; splendid
桌	桌	높을 탁	zhuō	træwk	tr-	-æwk	entering	*tˁrawk (no pre-Qin exx.)	table
斲	斲	깎을 착	zhuó	træwk	tr-	-æwk	entering	*Cə.tˁrok	chop, cleave
啄	啄	쪼을 탁, 쪼을 착, 쫄 탁, 부리 주	zhuó	træwk	tr-	-æwk	entering	*mə-tˁ‹r›ok	to peck
捉	捉	잡을 착	zhuō	tsræwk	tsr-	-æwk	entering	*tsrok {*[ts](ˁ)rok}	grasp (v.)
蚌	蚌	방합 방	bàng	bæwngX	b-	-æwng	rising	*bˁroŋʔ {*[b]ˁroŋʔ}	oyster, mussel
蜯	蜯	방합 방	bàng	bæwngX	b-	-æwng	rising	*bˁroŋʔ {*[b]ˁroŋʔ}	oyster, mussel
龐	庞	클 방, 찰 롱, 어지러울 방, 충실할 롱	páng	bæwng	b-	-æwng	even	*bˁroŋ {*[b]ˁroŋ}	huge
撞	撞	칠 당	chuáng	dræwng	dr-	-æwng	even	*N-tˁ‹r›oŋ {*[N-t]ˁ‹r›oŋ}	strike
撞	撞	칠 당	zhuàng	dræwngH	dr-	-æwng	departing	*N-tˁ‹r›oŋ-s	strike
降	降	항복할 항, 내릴 강	xiáng	hæwng	h-	-æwng	even	*m-kˁruŋ (? ‹ *-[u]m)	submit
巷	巷	거리 항	xiàng	hæwngH	h-	-æwng	departing	*C.ɡˁroŋ-s	lane, street
項	项	목 항, 항목 항	xiàng	hæwngX	h-	-æwng	rising	*ɡˁroŋʔ {*[ɡ]ˁroŋʔ}	neck
江	江	강 강	jiāng	kæwng	k-	-æwng	even	*kˁroŋ	(Yangzi) river
講	讲	강론할 강, 화해할 구, 욀 강, 얽을 구	jiǎng	kæwngX	k-	-æwng	rising	*kˁroŋʔ	explain; discuss
虹	虹	무지개 홍, 어지럽힐 항, 어지러울 항, 고을 이름 공	jiàng	kæwngH	k-	-æwng	departing	*kˁroŋ-s	rainbow
降	降	항복할 항, 내릴 강	jiàng	kæwngH	k-	-æwng	departing	*kˁruŋ-s (? ‹ *-[u]m-s)	descend
龍	龙	용 룡, 얼룩 방, 언덕 롱, 사랑할 총, 얼룩 망, 은총 총	máng	mæwng	m-	-æwng	even	*mˁroŋ	variegated
尨	尨	삽살개 방, 어지러울 봉	máng	mæwng	m-	-æwng	even	*mˁroŋ	variegated
哤	哤	난잡할 방	máng	mæwng	m-	-æwng	even	*mˁroŋ	mixed, disorderly
厖	厖	클 방, 두터울 방	máng	mæwng	m-	-æwng	even	*mˁroŋ	great, ample
駹	駹	찬간자 방	máng	mæwng	m-	-æwng	even	*mˁroŋ	variegated animal
邦	邦	나라 방	bāng	pæwng	p-	-æwng	even	*pˁroŋ	country
雙	双	쌍 쌍, 견줄 쌍, 두 쌍	shuāng	sræwng	sr-	-æwng	even	*sˁroŋ {*[s]ˁroŋ}	a pair
憃	憃	천치 용, 천치 송, 어리석을 창, 천치 창, 어리석을 송	chōng	trhæwng	trh-	-æwng	even	*qʰˁ‹r›oŋ {*[q]ʰˁ‹r›oŋ}	stupid
窻	窻	창 창, 굴뚝 총	chuāng	tsrhæwng	tsrh-	-æwng	even	*s-l̥ˁ‹r›oŋ	window
䆫	䆫	창 창, 굴뚝 총	chuāng	tsrhæwng	tsrh-	-æwng	even	*s-l̥ˁ‹r›oŋ	window
茷	茷	무성할 패, 나무 우거져 얽힐 발	pèi	bajH	b-	-aj	departing	*bˁat-s {*[b]ˁ[a][t]-s}	streamer, flutter
大	大	큰 대, 클 태, 클 대, 클 다	dà	dajH	d-	-aj	departing	*lˁat-s {*lˁa[t]-s}	big
汰	汰	일 태	dài	dajH	d-	-aj	departing	*lˁat-s {*lˁa[t]-s}	wave
害	害	해칠 해, 어찌 갈, 해할 해, 어느 할	hài	hajH	h-	-aj	departing	*N-kˁat-s	be hurt (v.i.); injury (n.)
害	害	해칠 해, 어찌 갈, 해할 해, 어느 할	hài	hajH	h-	-aj	departing	*m-kˁat-s	hurt (v.t.)
蓋	盖	덮을 개, 어찌 아니할 합, 땅 이름 갑, 어찌 합	gài	kajH	k-	-aj	departing	*kˁap-s {*[k]ˁap-s}	cover (v.); cover (n.)
匃	匃	빌 개	gài	kajH	k-	-aj	departing	*kˁat-s {*[k]ˁat-s}	beg (v.)
瀨	濑	여울 뢰	lài	lajH	l-	-aj	departing	*C.rˁat-s {*C.rˁa[t]-s}	rapids
賴	赖	힘입을 뢰, 의뢰할 뢰	lài	lajH	l-	-aj	departing	*rˁat-s {*rˁa[t]-s}	depend on
籟	籁	퉁소 뢰, 세 구멍 퉁소 뢰	lài	lajH	l-	-aj	departing	*rˁat-s {*rˁa[t]-s}	tube
糲	粝	현미 려, 현미 랄	lì	lajH	l-	-aj	departing	*rˁat-s {*([m]ə-)rˁat-s}	dehusked but not polished grain.
艾	艾	쑥 애, 거둘 예, 다스릴 예	ài	ngajH	ng-	-aj	departing	*C.ŋˁat-s {*C.ŋˁa[t]-s}	Artemisia; moxa
帶	带	띠 대	dài	tajH	t-	-aj	departing	*C.tˁat-s {*C.tˁa[t]-s}	girdle, strap
泰	泰	클 태	tài	thajH	th-	-aj	departing	*l̥ˁat-s {*l̥ˁa[t]-s}	great
太	太	클 태	tài	thajH	th-	-aj	departing	*l̥ˁat-s {*l̥ˁa[t]-s}	great
蔡	蔡	거북 채, 내칠 살, 성씨 채	cài	tshajH	tsh-	-aj	departing	*s.r̥ˁat-s	(name of a state)
堊	垩	백토 악, 흰흙 악, 성인 성	è	ʔak	ʔ-	-ak	entering	*ʔˁak	plaster (v.)
惡	恶	악할 악, 미워할 오, 어찌 오	è	ʔak	ʔ-	-ak	entering	*ʔˁak	bad, ugly
薄	薄	엷을 박, 동자기둥 벽, 풀 이름 보	bó	bak	b-	-ak	entering	*bˁak {*(Cə.)[b]ˁak}	thin
度	度	법도 도, 헤아릴 탁, 살 택	duó	dak	d-	-ak	entering	*dˁak {*[d]ˁak}	measure (v.)
鐸	铎	방울 탁	duó	dak	d-	-ak	entering	*lˁak	a kind of bell
鑿	凿	뚫을 착, 쌀 쓿을 착, 새길 족, 구멍 조, 새길 촉	záo	dzak	dz-	-ak	entering	*dzˁawk {*[dz]ˁawk}	chisel
昨	昨	어제 작	zuó	dzak	dz-	-ak	entering	*dzˁak {*[dz]ˁak}	yesterday
鶴	鹤	학 학, 흴 학	hè	hak	h-	-ak	entering	*ɡˁawk {*[ɡ]ˁawk}	crane
胳	胳	겨드랑이 각, 목뒤뼈 격	gē	kak	k-	-ak	entering	*C.qˁak {*[C.q]ˁak}	armpit
閣	阁	문설주 각, 집 각	gé	kak	k-	-ak	entering	*C.kˁak	shelf, frame
各	各	각각 각	gè	kak	k-	-ak	entering	*kˁak	each
樂	乐	풍류 악, 즐거울 락, 좋아할 요, 노래 악	lè	lak	l-	-ak	entering	*rˁawk {*[rˁ]awk}	joy; enjoy
轢	轹	삐걱거릴 력, 칠 력	lì	lak	l-	-ak	entering	*rˁawk {*[r]ˁawk}	crush under wheels
落	落	떨어질 락	luò	lak	l-	-ak	entering	*kə.rˁak	fall (v.)
莫	莫	없을 막, 저물 모, 덮을 멱	mò	mak	m-	-ak	entering	*mˁak	there is no X such that X …
莫	莫	없을 막, 저물 모, 덮을 멱	mò	mak	m-	-ak	entering	*mˁak	deliberate (v.) (loan)
幕	幕	막 막, 막 만, 장막 막, 화폐의 뒷면 만	mù	mak	m-	-ak	entering	*mˁak	covering
愕	愕	놀랄 악, 갑자기 오	è	ngak	ng-	-ak	entering	*N-qʰˁak	scared
遌	遌	만날 악, 저촉될 오, 만날 오	è	ngak	ng-	-ak	entering	*ŋˁak	unexpectedly come across
諤	谔	직언할 악, 곧은 말할 악	è	ngak	ng-	-ak	entering	*ŋˁak	speak frankly
咢	咢	말다툼할 악, 시끄럽게 다툴 악	è	ngak	ng-	-ak	entering	*ŋˁak {*[ŋ]ˁak}	beat a drum
博	博	넓을 박	bó	pak	p-	-ak	entering	*pˁak	broad
胉	胉	어깨뼈 박, 옆구리 백	bó	phak	ph-	-ak	entering	*pʰˁak	shoulder blade
膊	膊	포 박, 팔뚝 박	pò	phak	ph-	-ak	entering	*pʰˁak	dismember
索	索	동아줄 삭, 찾을 색, 구할 소, 노 삭	suǒ	sak	s-	-ak	entering	*sˁak {*[s]ˁak}	twist a rope
索	索	동아줄 삭, 찾을 색, 구할 소, 노 삭	suǒ	sak	s-	-ak	entering	*sˁak {*[s]ˁak}	search (v.)
託	讬	부탁할 탁	tuō	thak	th-	-ak	entering	*tʰˁak	entrust
橐	橐	전대 탁	tuó	thak	th-	-ak	entering	*tʰˁak	sack; bellows
作	作	지을 작, 만들 자, 원망할 주, 저주 저, 만들 주	zuò	tsak	ts-	-ak	entering	*tsˁak {*[ts]ˁak}	do, work
錯	错	섞일 착, 둘 조, 어긋날 착	cuò	tshak	tsh-	-ak	entering	*tsʰˁak {*[tsʰ]ˁak}	slanting
壑	壑	골 학	hè	xak	x-	-ak	entering	*qʰˁak	moat; canal
啗	啗	먹을 담, 먹일 담	dàn	damH	d-	-am	departing	*m-rˁamʔ-s	eat, swallow
憺	憺	편안할 담, 움직일 담, 참담할 담	dàn	damX	d-	-am	rising	*lˁamʔ {*[l]ˁamʔ}	calm
澹	澹	담박할 담, 넉넉할 섬, 맑을 담	dàn	damX	d-	-am	rising	*lˁamʔ {*[l]ˁamʔ}	calm
啖	啖	먹을 담, 속일 담, 씹을 담	dàn	damX	d-	-am	rising	*m-rˁamʔ	eat
啗	啗	먹을 담, 먹일 담	dàn	damX	d-	-am	rising	*m-rˁamʔ	eat
慙	慙	부끄러울 참	cán	dzam	dz-	-am	even	*dzˁam {*[dz]ˁam}	ashamed
暫	暂	잠깐 잠	zàn	dzamH	dz-	-am	departing	*dzˁam-s {*[dz]ˁam-s}	suddenly
酣	酣	즐길 감, 흥겨울 감, 흥겨울 함	hān	ham	h-	-am	even	*ɡˁam {*[ɡ]ˁam}	half-drunk
邯	邯	땅 이름 한, 현 이름 함, 풍성할 함, 땅 이름 감, 조나라 서울 한	hán	ham	h-	-am	even	*ɡˁam {*[ɡ]ˁam}	han.tan (placename)
檻	槛	우리 함, 난간 함	jiàn	hamX	h-	-am	rising	*ɡˁamʔ {*[ɡ]ˁamʔ}	railing; cage
甘	甘	달 감	gān	kam	k-	-am	even	*kˁam {*[k]ˁ[a]m}	sweet
敢	敢	감히 감, 구태여 감	gǎn	kamX	k-	-am	rising	*kˁamʔ {*[k]ˁamʔ}	dare
藍	蓝	쪽 람, 채소 무침 람, 볼 감	lán	lam	l-	-am	even	*N-k.rˁam	indigo
籃	篮	대바구니 람	lán	lam	l-	-am	even	*k.rˁam	basket
三	三	석 삼, 자주 삼	sān	sam	s-	-am	even	*srum {*sr[u]m} (*sr- › *s-; infl. by 四 *s-?)	three
三	三	석 삼, 자주 삼	sān	samH	s-	-am	departing	*s.rəm-s {*[s.r][ə]m-s} (*s.r- › *s-, infl. by 四 *s-)	thrice
擔	担	멜 담, 짐 담	dān	tam	t-	-am	even	*mə-tˁam	carry on the shoulder
膽	胆	쓸개 담	dǎn	tamX	t-	-am	rising	*tˁamʔ {*[t]ˁamʔ}	gall
擔	担	멜 담, 짐 담	dàn	tam	t-	-am	even	*tˁam-s {*tˁam}	burden
擔	担	멜 담, 짐 담	dàn	tamH	t-	-am	departing	*tˁam-s {*mə-tˁam-s}	burden
安	安	편안할 안, 편안 안	ān	ʔan	ʔ-	-an	even	*ʔˁan {*[ʔ]ˁa[n]}	peace(ful)
安	安	편안할 안, 편안 안	ān	ʔan	ʔ-	-an	even	*ʔˁan {*[ʔ]ˁa[n]}	how
鞌	鞌	안장 안	ān	ʔan	ʔ-	-an	even	*ʔˁan {*[ʔ]ˁa[n]}	[place name]
鞍	鞍	안장 안	ān	ʔan	ʔ-	-an	even	*ʔˁan {*[ʔ]ˁa[n]}	[place name]
按	按	누를 안, 막을 알	àn	ʔanH	ʔ-	-an	departing	*ʔˁan-s {*ʔˁa[n]-s}	repress
案	案	책상 안	àn	ʔanH	ʔ-	-an	departing	*ʔˁan-s {*ʔˁa[n]-s}	stool; tray
伴	伴	짝 반	bàn	banX	b-	-an	rising	*C.bˁanʔ {*C.[b]ˁanʔ}	comrade
盤	盘	소반 반	pán	ban	b-	-an	even	*bˁan	tray, basin
畔	畔	두둑 반, 밭두둑 반, 배반할 반	pàn	banH	b-	-an	departing	*m-pˁan-s	bank between fields
彈	弹	탄환 탄, 튀길 탄, 탄알 탄	dàn	danH	d-	-an	departing	*Cə.dˁar-s {*Cə.[d]ˁar-s}	pellet
但	但	다만 단, 거짓 탄	dàn	danX	d-	-an	rising	*dˁanʔ {*[d]ˁa[n]ʔ}	only
彈	弹	탄환 탄, 튀길 탄, 탄알 탄	tán	dan	d-	-an	even	*dˁar {*(Cə.)[d]ˁar}	shoot pellets
殘	残	해칠 잔, 잔인할 잔, 남을 잔	cán	dzan	dz-	-an	even	*dzˁan {*[dz]ˁa[n]}	injure; remnant
戔	戋	해칠 잔, 적을 전, 나머지 잔, 돈 전, 깎을 찬	jiān	dzan	dz-	-an	even	*dzˁan {*[dz]ˁa[n]}	kill; cruel
寒	寒	찰 한	hán	han	h-	-an	even	*Cə.ɡˁan {*Cə.[ɡ]ˁa[n]}	cold
邯	邯	땅 이름 한, 현 이름 함, 풍성할 함, 땅 이름 감, 조나라 서울 한	hán	han	h-	-an	even	*ɡˁan {*[ɡ]ˁa[n]}	han.tan (placename)
韓	韩	나라 이름 한, 한국 한, 나라 한	hán	han	h-	-an	even	*ɡˁar {*[ɡ]ˁar}	(place name)
汗	汗	땀 한, 현 이름 한, 현 이름 간	hàn	hanH	h-	-an	departing	*Cə.ɡˁar-s {*Cə.[ɡ]ˁa[r]-s}	sweat (n.)
翰	翰	날개 한, 편지 한	hàn	hanH	h-	-an	departing	*ɡˁar-s {*[ɡ]ˁar-s}	pheasant; feather, wing
翰	翰	날개 한, 편지 한	hàn	hanH	h-	-an	departing	*ɡˁar-s {*[ɡ]ˁar-s}	high
扞	扞	막을 한, 칠 하, 펼 간	hàn	hanH	h-	-an	departing	*m-kˁar-s {*m-kˁa[r]-s}	ward off; protect, guard
翰	翰	날개 한, 편지 한	hàn	hanH	h-	-an	departing	*m-kˁar-s	prop up, support
旱	旱	가물 한	hàn	hanX	h-	-an	rising	*ɡˁarʔ {*[ɡ]ˁa[r]ʔ}	dry, drought
乾	干	마를 건, 마를 간, 하늘 건	gān	kan	k-	-an	even	*kˁar {*[k]ˁar}	dry
奸	奸	범할 간, 간악할 간, 간사할 간	gān	kan	k-	-an	even	*kˁar {*kˁa[r]}	treacherous
竿	竿	장대 간, 화살대 간, 횃대 간, 낚싯대 간	gān	kan	k-	-an	even	*kˁar	pole, rod
干	干	방패 간, 주사 안, 줄기 간, 마를 건	gān	kan	k-	-an	even	*kˁar {*kˁa[r]}	shield (n.)
干	干	방패 간, 주사 안, 줄기 간, 마를 건	gān	kan	k-	-an	even	*kˁar {*[k]ˁar}	pole
肝	肝	간 간	gān	kan	k-	-an	even	*s.kˁar {*s.kˁa[r]}	liver
秆	秆	짚 간, 볏짚 간	gǎn	kanX	k-	-an	rising	*kˁarʔ {*kˁa[r]ʔ}	straw of grain
簳	簳	조릿대 간	gǎn	kanX	k-	-an	rising	*kˁarʔ	slender bamboo
笴	笴	화살대 가	gǎn	kanX	k-	-an	rising	*kˁarʔ	shaft of an arrow
飦	飦		zhān	kan	k-	-an	even	*C.qˁan {*C.qˁa[n]}	thick gruel of rice
看	看	볼 간	kàn	khanH	kh-	-an	departing	*kʰˁar-s {*kʰˁa[r]-s}	gaze at
蘭	兰	난초 란	lán	lan	l-	-an	even	*k.rˁan	orchid
闌	阑	가로막을 란, 무늬 란, 난간 란	lán	lan	l-	-an	even	*kə.rˁan	railing
懶	懒	게으를 라, 게으를 란, 미워할 뢰, 혐오할 뢰	lǎn	lanX	l-	-an	rising	*N-kə.rˁanʔ	lazy
爛	烂	문드러질 란, 빛날 란	làn	lanH	l-	-an	departing	*rˁan-s {*[r]ˁan-s}	cooked until soft
爤	爤	문드러질 란, 빛날 란	làn	lanH	l-	-an	departing	*rˁan-s {*[r]ˁan-s}	cooked until soft
瞞	瞒	속일 만, 부끄러워할 문	mán	man	m-	-an	even	*mˁor {*mˁ[o][r]}	be deceived
曼	曼	길 만, 뻗을 만, 오랑캐 만, 길게 끌 만	màn	manH	m-	-an	departing	*mˁan-s {*mˁa[n]-s}	distant
幔	幔	막 만	màn	manH	m-	-an	departing	*mˁan-s {*mˁa[n]-s}	curtain, tent
漫	漫	질펀할 만, 빠질 만, 게으를 만, 흩어질 만	màn	manH	m-	-an	departing	*mˁan-s {*mˁa[n]-s}	wide, limitless
難	难	어려울 난, 잎 우거질 나, 나무 우거질 나, 근심 난	nán	nan	n-	-an	even	*nˁar	difficult
難	难	어려울 난, 잎 우거질 나, 나무 우거질 나, 근심 난	nàn	nanH	n-	-an	departing	*nˁar-s	difficulty
豻	豻	들개 간, 들개 한, 옥 안	àn	nganH	ng-	-an	departing	*m-ɢˁar-s {*m-[ɢ]ˁa[r]-s}	wild dog
岸	岸	언덕 안	àn	nganH	ng-	-an	departing	*ŋˁar-s {*[ŋ]ˁa[r]-s} (‹ uvular?)	bank of a river
半	半	반 반	bàn	panH	p-	-an	departing	*pˁan-s	half
判	判	뻐갤 판, 판단할 판	pàn	phanH	ph-	-an	departing	*pʰˁan-s	divide
散	散	흩을 산, 비틀거릴 산	sǎn	sanX	s-	-an	rising	*sˁanʔ {*[s]ˁa[n]ʔ}	scattered (adj.)
散	散	흩을 산, 비틀거릴 산	sàn	sanH	s-	-an	departing	*m-sˁanʔ-s {*m-sˁa[n]ʔ-s}	scatter (v.t.)
單	单	홑 단, 오랑캐임금 선, 고을이름 선, 가볍게 일 선, 오랑캐 이름 선	dān	tan	t-	-an	even	*Cə.tˁar	single, simple
丹	丹	붉을 단, 정성스러울 란	dān	tan	t-	-an	even	*tˁan	cinnabar
鄲	郸	조나라 서울 단, 나라 이름 다	dān	tan	t-	-an	even	*tˁar {*tˁa[r]}	place name (han.tan)
亶	亶	미쁠 단, 멋대로할 선, 날 선, 믿음 단, 머뭇거릴 전, 산 이름 선	dǎn	tanX	t-	-an	rising	*tˁanʔ {*tˁa[n]ʔ}	sincere, truly
旦	旦	아침 단	dàn	tanH	t-	-an	departing	*tˁan-s {*tˁa[n]-s}	dawn
灘	滩	여울 탄, 해 탄	tān	than	th-	-an	even	*n̥ˁar (E dial.: *n̥ˁ- › th-)	foreshore
歎	歎	탄식할 탄	tān	than	th-	-an	even	*n̥ˁar	to sigh
嘽	啴	헐떡일 탄, 느릴 천, 느릿할 천, 두려울 단	tān	than	th-	-an	even	*tʰˁar	numerous
嘽	啴	헐떡일 탄, 느릴 천, 느릿할 천, 두려울 단	tān	than	th-	-an	even	*tʰˁar	exhausted
嘽	啴	헐떡일 탄, 느릴 천, 느릿할 천, 두려울 단	tān	than	th-	-an	even	*tʰˁar	many
坦	坦	평평할 탄, 평탄할 탄, 너그러울 탄	tǎn	thanX	th-	-an	rising	*tʰˁanʔ {*[tʰ]ˁa[n]ʔ}	level, at ease
嘆	叹	탄식할 탄, 또 우	tàn	thanH	th-	-an	departing	*n̥ˁar-s	sigh
炭	炭	숯 탄	tàn	thanH	th-	-an	departing	*tʰˁan-s {*[tʰ]ˁa[n]-s}	charcoal, coal
贊	赞	도울 찬	zàn	tsanH	ts-	-an	departing	*tsˁarʔ-s	assist
粲	粲	정미 찬	càn	tshanH	tsh-	-an	departing	*tsʰˁar-s {*[tsʰ]ˁar-s}	bright and white
罕	罕	그물 한, 땅이름 한, 드물 한	hǎn	xanX	x-	-an	rising	*qʰˁarʔ {*qʰˁa[r]ʔ}	rare
罕	罕	그물 한, 땅이름 한, 드물 한	hǎn	xanX	x-	-an	rising	*qʰˁarʔ {*qʰˁa[r]ʔ}	net
漢	汉	한수 한, 한나라 한, 태세 이름 탄, 신년 탄	hàn	xanH	x-	-an	departing	*n̥ˁar-s (W dialect: *n̥- › x-, *-r › *-n)	(river name)
暵	暵	말릴 한, 마를 한	hàn	xanH	x-	-an	departing	*qʰˁar-s {*[qʰ]ˁarʔ-s}	dry
厂	厂	언덕 한, 기슭 엄, 기슭 한, 공장 창	hàn	xanH	x-	-an	departing	*ŋ̊ˁar-s {*ŋ̊ˁar(ʔ)-s}	cliff
暵	暵	말릴 한, 마를 한	hàn	xanX	x-	-an	rising	*qʰˁarʔ {*[qʰ]ˁarʔ}	scorch, burn
厂	厂	언덕 한, 기슭 엄, 기슭 한, 공장 창	hàn	xanX	x-	-an	rising	*ŋ̊ˁarʔ	cliff
傍	傍	곁 방, 기댈 방	bàng	bangH	b-	-ang	departing	*bˁaŋ-s {*[b]ˁaŋ-s}	beside; assist
彷	彷	어정거릴 방, 비슷할 방, 헤맬 방	páng	bang	b-	-ang	even	*bˁaŋ {*[b]ˁaŋ}	bang-hwang hestitate
旁	旁	곁 방, 풀 이름 팽, 기댈 방, 달릴 팽	páng	bang	b-	-ang	even	*bˁaŋ {*[b]ˁaŋ}	side
徬	徬	시중들 방, 곁 방, 헤맬 방	páng	bang	b-	-ang	even	*bˁaŋ {*[b]ˁaŋ}	walk alongside
蒡	蒡	우엉 방, 인동덩굴 방	páng	bang	b-	-ang	even	*bˁaŋ {*[b]ˁaŋ}	(a kind of plant)
傍	傍	곁 방, 기댈 방	páng	bang	b-	-ang	even	*bˁaŋ {*[b]ˁaŋ}	beside; assist
碭	砀	무늬있는 돌 탕, 옥돌 탕	dàng	dangH	d-	-ang	departing	*lˁaŋ-s	veined stone
蕩	荡	쓸어없앨 탕, 넓을 탕, 방탕할 탕	dàng	dangH	d-	-ang	departing	*lˁaŋ-s	throw out, purify from
愓	愓	방자할 탕, 빠를 상, 두려워할 척	dàng	dangX	d-	-ang	rising	*lˁaŋʔ	extravagant
餳	饧	엿 당, 엿 성	táng	dang	d-	-ang	even	*C.lˁaŋ	sweets
唐	唐	당나라 당, 당황할 당	táng	dang	d-	-ang	even	*N-rˁaŋ {*[N-]rˁaŋ}	exaggerate; great
堂	堂	집 당	táng	dang	d-	-ang	even	*dˁaŋ {*(Cə.)[d]ˁaŋ}	hall
棠	棠	아가위나무 당, 아가위 당	táng	dang	d-	-ang	even	*dˁaŋ {*[d]ˁaŋ}	a kind of pear tree (Pyrus)
塘	塘	못 당	táng	dang	d-	-ang	even	*m.rˁaŋ ~ mə.rˁaŋ	dam, dike
藏	藏	감출 장, 곳집 장	cáng	dzang	dz-	-ang	even	*m-tsʰˁaŋ	store (v.)
藏	藏	감출 장, 곳집 장	zàng	dzangH	dz-	-ang	departing	*dzˁaŋ-s {*[dz]ˁaŋ-s}	store, repository (n.)
杭	杭	건널 항, 막을 항, 막을 강	háng	hang	h-	-ang	even	*N-ɡˁaŋ {*[N]-[g]ˁaŋ}	to go by boat
航	航	건널 항, 배 항	háng	hang	h-	-ang	even	*N-ɡˁaŋ {*[N]-[g]ˁaŋ}	boat; two boats tied together
行	行	갈 행, 행위 행, 줄 항, 다닐 행, 항렬 항	háng	hang	h-	-ang	even	*ɡˁaŋ {*[ɡ]ˁaŋ}	rank, row
亢	亢	목 항, 목 강, 오를 항, 오를 강, 높을 항	gāng	kang	k-	-ang	even	*k.ŋˁaŋ	lift high
剛	刚	굳셀 강	gāng	kang	k-	-ang	even	*kˁaŋ	strong; hard
綱	纲	벼리 강	gāng	kang	k-	-ang	even	*kˁaŋ	guiding rope of net
鋼	钢	강철 강, 강할 강	gāng	kang	k-	-ang	even	*s.kˁaŋ	cast iron; steel
康	康	편안할 강, 들 항, 편안 강	kāng	khang	kh-	-ang	even	*k-l̥ˁaŋ	tranquil; at ease
康	康	편안할 강, 들 항, 편안 강	kāng	khang	kh-	-ang	even	*kʰˁaŋ {*[kʰ]ˁaŋ}	empty
抗	抗	막을 항, 겨룰 항, 큰길 강	kàng	khangH	kh-	-ang	departing	*kʰˁaŋ-s	set up; oppose; protect
郎	郎	사내 랑	láng	lang	l-	-ang	even	*C.rˁaŋ	young gentleman
浪	浪	물결 랑, 눈물흘릴 랑	láng	lang	l-	-ang	even	*rˁaŋ {*[r]ˁaŋ}	(name of a river)
狼	狼	이리 랑, 땅이름 랑	láng	lang	l-	-ang	even	*rˁaŋ {*[r]ˁaŋ}	wolf
琅	琅	옥이름 랑, 방자할 랑, 옥돌 랑	láng	lang	l-	-ang	even	*rˁaŋ {*[r]ˁaŋ}	(a kind of precious stone)
稂	稂	강아지풀 랑	láng	lang	l-	-ang	even	*rˁaŋ {*[r]ˁaŋ}	weed in field of grain
郎	郎	사내 랑	láng	lang	l-	-ang	even	*rˁaŋ	double roof
廊	廊	복도 랑, 사랑채 랑, 행랑 랑	láng	lang	l-	-ang	even	*rˁaŋ {*[r]ˁaŋ}	side-gallery
朗	朗	밝을 랑	lǎng	langX	l-	-ang	rising	*k.rˁaŋʔ	bright
芒	芒	까끄라기 망, 미숙할 황, 어두울 황, 형체 없을 망, 황홀할 황	máng	mang	m-	-ang	even	*mˁaŋ	awn, beard of grain
忙	忙	바쁠 망	máng	mang	m-	-ang	even	*mˁaŋ	flurried
囊	囊	주머니 낭	náng	nang	n-	-ang	even	*nˁaŋ	sack, bag
曩	曩	접때 낭	nǎng	nangX	n-	-ang	rising	*nˁaŋʔ	in past times
卬	卬	나 앙, 우러러볼 앙	áng	ngang	ng-	-ang	even	*ŋˁaŋ	high; lift high
謗	谤	헐뜯을 방	bàng	pangH	p-	-ang	departing	*pˁaŋ-s	slander
舫	舫	배 방, 쌍배 방, 방주 방	fǎng	pangH	p-	-ang	departing	*pˁaŋ-s	boat
雱	雱	눈 올 방	páng	phang	ph-	-ang	even	*pʰˁaŋ	heavy snowfall
喪	丧	복입을 상, 잃을 상	sāng	sang	s-	-ang	even	*s-mˁaŋ {*[s-m]ˁaŋ}	mourning, burial
